"","9-4","9-5","9-6","9-7","9-8"
"1","HOUSTON","AUSTIN","HOUSTON","HOUSTON","HOUSTON"
"2","AUSTIN","HOUSTON","AUSTIN","AUSTIN","AUSTIN"
"3","COLLEGESTATION","KATY","CORPUSCHRISTI","CORPUSCHRISTI","KATY"
"4","MIDLAND","PLANO","RICHLANDHILLS","MISSOURICITY","WORCESTER"
"5","KATY","SPRING","PLANO","THEWOODLANDS","CYPRESS"
"6","RICHMOND","SUGARLAND","THEWOODLANDS","ARLINGTON","CORPUSCHRISTI"
"7","SPRING","ARLINGTON","ARLINGTON","CYPRESS","IRVING"
"8","CORPUSCHRISTI","FRAMINGHAM","IRVING","SUGARLAND","SUGARLAND"
"9","ARLINGTON","COLLEGESTATION","FORTWORTH","KATY","VICTORIA"
"10","CYPRESS","PEARLAND","ELPASO","RICHMOND","WACO"
"11","LUBBOCK","TOMBALL","TOMBALL","ELPASO","PEARLAND"
"12","QUINCY","BEAUMONT","CYPRESS","FRISCO","ALVIN"
"13","BAYCITY","LUBBOCK","FARMERSBRANCH","IRVING","CONROE"
"14","BAYTOWN","THEWOODLANDS","KATY","LUBBOCK","DUXBURY"
"15","ELGIN","IRVING","LUBBOCK","PEARLAND","HOUSTONAREA"
"16","FRISCO","MCKINNEY","SANMARCOS","SANMARCOS","RICHMOND"
"17","GALVESTONCOUNTY","AMARILLO","COLLEGESTATION","WACO","SPRING"
"18","NAVASOTA","AMHERST","FRISCO","CLUTCHCITY","THEWOODLANDS"
"19","PEARLAND","BAYTOWN","GALVESTON","FLOWERMOUND","CARROLLTON"
"20","VIDALIA","CYPRESS","GEORGETOWN","LAMESA","DALLAS/FORTWORTH"
