"","number","city","state","freq","date"
"1",247,"HOUSTON","TX",0.285219399538106,"9-7"
"2",120,"AUSTIN","TX",0.138568129330254,"9-7"
"3",65,"DALLAS","TX",0.0750577367205543,"9-7"
"4",34,"SANANTONIO","TX",0.0392609699769053,"9-7"
"150",20,"BOSTON","MA",0.023094688221709,"9-7"
"179",20,"LASVEGAS","NV",0.023094688221709,"9-7"
"5",17,"FORTWORTH","TX",0.0196304849884527,"9-7"
"144",16,"NEWORLEANS","LA",0.0184757505773672,"9-7"
"6",11,"CORPUSCHRISTI","TX",0.01270207852194,"9-7"
"7",8,"MISSOURICITY","TX",0.0092378752886836,"9-7"
"8",8,"THEWOODLANDS","TX",0.0092378752886836,"9-7"
"9",7,"ARLINGTON","TX",0.00808314087759815,"9-7"
"10",7,"CYPRESS","TX",0.00808314087759815,"9-7"
"11",7,"SCREWSTON","TX",0.00808314087759815,"9-7"
"12",7,"SUGARLAND","TX",0.00808314087759815,"9-7"
"13",6,"KATY","TX",0.0069284064665127,"9-7"
"14",6,"RICHMOND","TX",0.0069284064665127,"9-7"
"15",5,"COLLEGESTATION","TX",0.00577367205542725,"9-7"
"16",5,"LEAGUECITY","TX",0.00577367205542725,"9-7"
"151",5,"CAMBRIDGE","MA",0.00577367205542725,"9-7"
"17",4,"ELPASO","TX",0.0046189376443418,"9-7"
"18",4,"FRISCO","TX",0.0046189376443418,"9-7"
"19",4,"IRVING","TX",0.0046189376443418,"9-7"
"20",4,"LUBBOCK","TX",0.0046189376443418,"9-7"
"21",4,"PEARLAND","TX",0.0046189376443418,"9-7"
"22",4,"SANMARCOS","TX",0.0046189376443418,"9-7"
"23",4,"WACO","TX",0.0046189376443418,"9-7"
"24",3,"CLUTCHCITY","TX",0.00346420323325635,"9-7"
"25",3,"FLOWERMOUND","TX",0.00346420323325635,"9-7"
"26",3,"LAMESA","TX",0.00346420323325635,"9-7"
"27",3,"MERCEDES","TX",0.00346420323325635,"9-7"
"28",3,"PHARR","TX",0.00346420323325635,"9-7"
"29",3,"PORTARTHUR","TX",0.00346420323325635,"9-7"
"30",3,"RICHARDSON","TX",0.00346420323325635,"9-7"
"31",3,"TYLER","TX",0.00346420323325635,"9-7"
"32",3,"VICTORIA","TX",0.00346420323325635,"9-7"
"33",3,"WICHITAFALLS","TX",0.00346420323325635,"9-7"
"145",3,"BATONROUGE","LA",0.00346420323325635,"9-7"
"146",3,"METAIRIE","LA",0.00346420323325635,"9-7"
"34",2,"ALLEN","TX",0.0023094688221709,"9-7"
"35",2,"ALVARADO","TX",0.0023094688221709,"9-7"
"36",2,"ANGLETON","TX",0.0023094688221709,"9-7"
"37",2,"BAYCITY","TX",0.0023094688221709,"9-7"
"38",2,"BAYTOWN","TX",0.0023094688221709,"9-7"
"39",2,"BEAUMONT","TX",0.0023094688221709,"9-7"
"40",2,"CARROLLTON","TX",0.0023094688221709,"9-7"
"41",2,"CINCORANCH","TX",0.0023094688221709,"9-7"
"42",2,"CONROE","TX",0.0023094688221709,"9-7"
"43",2,"EDINBURG","TX",0.0023094688221709,"9-7"
"44",2,"GALVESTON","TX",0.0023094688221709,"9-7"
"45",2,"GEORGETOWN","TX",0.0023094688221709,"9-7"
"46",2,"HARRISCOUNTY","TX",0.0023094688221709,"9-7"
"47",2,"MARSHALL","TX",0.0023094688221709,"9-7"
"48",2,"MCKINNEY","TX",0.0023094688221709,"9-7"
"49",2,"MIAMIBEACHANDHOUSTON","TX",0.0023094688221709,"9-7"
"50",2,"MIDLAND","TX",0.0023094688221709,"9-7"
"51",2,"PASADENA","TX",0.0023094688221709,"9-7"
"52",2,"PLANO","TX",0.0023094688221709,"9-7"
"53",2,"ROUNDROCK","TX",0.0023094688221709,"9-7"
"54",2,"SANANGELO","TX",0.0023094688221709,"9-7"
"55",2,"SANTAFE","TX",0.0023094688221709,"9-7"
"56",2,"SINTON","TX",0.0023094688221709,"9-7"
"57",2,"SOUTHHOUSTON","TX",0.0023094688221709,"9-7"
"58",2,"SOUTHLAKE","TX",0.0023094688221709,"9-7"
"59",2,"SPRING","TX",0.0023094688221709,"9-7"
"60",2,"WEBSTER","TX",0.0023094688221709,"9-7"
"152",2,"BRAINTREE","MA",0.0023094688221709,"9-7"
"153",2,"LOWELL","MA",0.0023094688221709,"9-7"
"154",2,"NEWTON","MA",0.0023094688221709,"9-7"
"155",2,"PROVINCETOWN","MA",0.0023094688221709,"9-7"
