"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","RT @antoniobanos_: Para no caer en trampas procesistas de unos y otros. El domingo no vamos de mani ni de picnic ni de movilización. Vamos…",FALSE,0,NA,"2017-09-29 23:59:59",FALSE,NA,913916298639355904,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RostollFonoll",4734,TRUE,FALSE,NA,NA,"Orinal de Catalunya","ca","http://pbs.twimg.com/profile_images/909374888858746880/52d-unSq_normal.jpg"
"2","RT @taylorndean: he’s a beauty <ed><U+00A0><U+00BD><ed><U+00B6><U+00A4> https://t.co/pG8dDSNdVI",FALSE,0,NA,"2017-09-29 23:59:59",FALSE,NA,913916298635075584,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Marian_elio",2508,TRUE,FALSE,NA,NA,"Narnia","en","http://pbs.twimg.com/profile_images/899981365617098761/tD7WHsLF_normal.jpg"
"3","RT @MegRibeiro_: Essa garotinha representa eu e a metade da humanidade. <ed><U+00A0><U+00BE><ed><U+00B4><U+00A3> https://t.co/zjwOO7Qqw2",FALSE,0,NA,"2017-09-29 23:59:59",FALSE,NA,913916298597367808,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EnrricoOficial",188,TRUE,FALSE,NA,NA,"<U+2B50>ENRICO/BELAVENTURA<U+2B50>","pt","http://pbs.twimg.com/profile_images/913894863912996864/rEOgdEX7_normal.jpg"
"4","RT @_joaopwdro: mano o cara MATOU uma mulher e a vida estragada foi a DELE???????? não pode ser, eu não li isso https://t.co/WeeW5w5KYV",FALSE,0,NA,"2017-09-29 23:59:59",FALSE,NA,913916298576515072,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yooniw",24192,TRUE,FALSE,NA,NA,"Taekook <ed><U+00A0><U+00BC><ed><U+00BC><U+00BB> Sope <ed><U+00A0><U+00BC><ed><U+00BC><U+00BB> Minjoon","pt","http://pbs.twimg.com/profile_images/913946337070256128/0-iFCHzh_normal.jpg"
"5","RT @_BluRay__: DEMI JUST RELEASED HER BEST FUCKING ALBUM. NOT A BAD SONG ON THE ALBUM. IM SHOOK",FALSE,0,NA,"2017-09-29 23:59:59",FALSE,NA,913916298576490496,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","technicolordemz",259,TRUE,FALSE,NA,NA,"Dreamland","es","http://pbs.twimg.com/profile_images/895431863241756672/aE-TjoRU_normal.jpg"
"6","RT @beatsbydog: New @cherrybandusa record is REALLY good, please give it a listen and go see them on tour https://t.co/Wdfu6qklLj",FALSE,0,NA,"2017-09-29 23:59:59",FALSE,NA,913916298576441344,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kiev1969",1,TRUE,FALSE,NA,NA,"Glenside PA","en","http://pbs.twimg.com/profile_images/894653438809735172/MZiT9MO3_normal.jpg"
"7","@Nicole_Cliffe As a clothing designer I regularly have to buy $1000s worth of clothes and send them overseas for *a… https://t.co/JPX9AtjJnP",FALSE,1,"Nicole_Cliffe","2017-09-29 23:59:59",TRUE,913902432551239680,913916298563870720,208643146,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NekoAtsumeLARPr",0,FALSE,FALSE,NA,NA,"New Jersey, USA","en","http://pbs.twimg.com/profile_images/786707039376576512/TI4MYCet_normal.jpg"
"8","RT @MariooReetamozo: Hay que animarse a poner en la biografía ""modelo"" cuando sólo hiciste un book de mierda con un fotógrafo de $300. Estú…",FALSE,0,NA,"2017-09-29 23:59:59",FALSE,NA,913916298559721472,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dmimili",3,TRUE,FALSE,NA,NA,"Berazategui, Argentina","es","http://pbs.twimg.com/profile_images/912000676003287045/3lsqCeFn_normal.jpg"
"9","@AstralOfOrder The Glacian's words weighed heavily on the fair maiden's heart and mind. Indeed, a heavy burden was… https://t.co/oO2Eq2Cq94",FALSE,0,"AstralOfOrder","2017-09-29 23:59:59",TRUE,911397488749400064,913916298559492096,730487520765579264,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DevineValiancy",0,FALSE,FALSE,NA,NA,"Tenebrae.","en","http://pbs.twimg.com/profile_images/901269193273872384/eIhpuXTT_normal.jpg"
"10","RT @laura_basille63: J'avoue, je préfère qu'on m'emmène au McDo plutôt que dans un resto 5 étoiles ou y'a rien dans l'assiette et qu'on pay…",FALSE,0,NA,"2017-09-29 23:59:59",FALSE,NA,913916298530361344,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rania_976",7,TRUE,FALSE,NA,NA,"Mayotte","fr","http://pbs.twimg.com/profile_images/895680975895764997/whT0wOC4_normal.jpg"
