"","number","city","state","freq","date"
"1",161,"HOUSTON","TX",0.235036496350365,"9-6"
"2",71,"AUSTIN","TX",0.103649635036496,"9-6"
"3",39,"DALLAS","TX",0.0569343065693431,"9-6"
"4",38,"SANANTONIO","TX",0.0554744525547445,"9-6"
"5",22,"FORTWORTH","TX",0.0321167883211679,"9-6"
"132",22,"BOSTON","MA",0.0321167883211679,"9-6"
"160",16,"LASVEGAS","NV",0.0233576642335766,"9-6"
"6",14,"CORPUSCHRISTI","TX",0.0204379562043796,"9-6"
"7",12,"RICHLANDHILLS","TX",0.0175182481751825,"9-6"
"8",11,"PLANO","TX",0.0160583941605839,"9-6"
"9",9,"THEWOODLANDS","TX",0.0131386861313869,"9-6"
"10",7,"ARLINGTON","TX",0.0102189781021898,"9-6"
"11",7,"COLLEGESTATION","TX",0.0102189781021898,"9-6"
"12",7,"IRVING","TX",0.0102189781021898,"9-6"
"118",7,"NEWORLEANS","LA",0.0102189781021898,"9-6"
"13",6,"DENTON","TX",0.00875912408759124,"9-6"
"14",5,"ELPASO","TX",0.0072992700729927,"9-6"
"15",5,"TOMBALL","TX",0.0072992700729927,"9-6"
"119",5,"BATONROUGE","LA",0.0072992700729927,"9-6"
"16",4,"ABILENE","TX",0.00583941605839416,"9-6"
"17",4,"BEAUMONT","TX",0.00583941605839416,"9-6"
"18",4,"CYPRESS","TX",0.00583941605839416,"9-6"
"19",4,"FARMERSBRANCH","TX",0.00583941605839416,"9-6"
"20",4,"KATY","TX",0.00583941605839416,"9-6"
"21",4,"LUBBOCK","TX",0.00583941605839416,"9-6"
"22",4,"SANMARCOS","TX",0.00583941605839416,"9-6"
"23",3,"FRISCO","TX",0.00437956204379562,"9-6"
"24",3,"GALVESTON","TX",0.00437956204379562,"9-6"
"25",3,"GEORGETOWN","TX",0.00437956204379562,"9-6"
"26",3,"MESQUITE","TX",0.00437956204379562,"9-6"
"27",3,"MISSION","TX",0.00437956204379562,"9-6"
"28",3,"NEWBRAUNFELS","TX",0.00437956204379562,"9-6"
"29",3,"ODESSA","TX",0.00437956204379562,"9-6"
"30",3,"SPRING","TX",0.00437956204379562,"9-6"
"31",3,"SUGARLAND","TX",0.00437956204379562,"9-6"
"32",3,"TERRELL","TX",0.00437956204379562,"9-6"
"33",3,"WILLIS","TX",0.00437956204379562,"9-6"
"133",3,"QUINCY","MA",0.00437956204379562,"9-6"
"161",3,"RENO","NV",0.00437956204379562,"9-6"
"34",2,"1130HAMPTONSANANTONIO","TX",0.00291970802919708,"9-6"
"35",2,"ALVIN","TX",0.00291970802919708,"9-6"
"36",2,"AMARILLO","TX",0.00291970802919708,"9-6"
"37",2,"BENBROOK","TX",0.00291970802919708,"9-6"
"38",2,"GARLAND","TX",0.00291970802919708,"9-6"
"39",2,"GRAPEVINE","TX",0.00291970802919708,"9-6"
"40",2,"KILLEEN","TX",0.00291970802919708,"9-6"
"41",2,"KINGSVILLE","TX",0.00291970802919708,"9-6"
"42",2,"LEAGUECITY","TX",0.00291970802919708,"9-6"
"43",2,"LORENA","TX",0.00291970802919708,"9-6"
"44",2,"MIDLAND","TX",0.00291970802919708,"9-6"
"45",2,"MINERALWELLS","TX",0.00291970802919708,"9-6"
"46",2,"PEARLAND","TX",0.00291970802919708,"9-6"
"47",2,"PHARR","TX",0.00291970802919708,"9-6"
"48",2,"RICHMOND","TX",0.00291970802919708,"9-6"
"49",2,"SANANGELO","TX",0.00291970802919708,"9-6"
"50",2,"TYLER","TX",0.00291970802919708,"9-6"
"51",2,"VICTORIA","TX",0.00291970802919708,"9-6"
"52",2,"WACO","TX",0.00291970802919708,"9-6"
"120",2,"JENNINGS","LA",0.00291970802919708,"9-6"
"121",2,"LAFAYETTE","LA",0.00291970802919708,"9-6"
"122",2,"LAKECHARLES","LA",0.00291970802919708,"9-6"
"123",2,"METAIRIE","LA",0.00291970802919708,"9-6"
"134",2,"ANDOVER","MA",0.00291970802919708,"9-6"
"135",2,"BOSTON/MATTAPAN","MA",0.00291970802919708,"9-6"
"136",2,"CAMBRIDGE","MA",0.00291970802919708,"9-6"
"137",2,"CAPECOD","MA",0.00291970802919708,"9-6"
"162",2,"MESQUITE","NV",0.00291970802919708,"9-6"
"53",1,"720RUSK;405MAINHOUSTON","TX",0.00145985401459854,"9-6"
"54",1,"ADKINS","TX",0.00145985401459854,"9-6"
"55",1,"ALIEF","TX",0.00145985401459854,"9-6"
"56",1,"AUSITN","TX",0.00145985401459854,"9-6"
"57",1,"AUTISM","TX",0.00145985401459854,"9-6"
"58",1,"BASEBALLPLEX","TX",0.00145985401459854,"9-6"
"59",1,"BAYSIDE","TX",0.00145985401459854,"9-6"
"60",1,"BOERNE","TX",0.00145985401459854,"9-6"
"61",1,"BRENHAM","TX",0.00145985401459854,"9-6"
"62",1,"BROWNSVILLE","TX",0.00145985401459854,"9-6"
"63",1,"BRYAN","TX",0.00145985401459854,"9-6"
"64",1,"BURLESON","TX",0.00145985401459854,"9-6"
"65",1,"CEDARHILL","TX",0.00145985401459854,"9-6"
"66",1,"CHAPELHILL","TX",0.00145985401459854,"9-6"
"67",1,"COPPELL","TX",0.00145985401459854,"9-6"
"68",1,"D/FW","TX",0.00145985401459854,"9-6"
"69",1,"DALLAS-FT.WORTH","TX",0.00145985401459854,"9-6"
"70",1,"DALLAS/FORTWORTH","TX",0.00145985401459854,"9-6"
"71",1,"DDD","TX",0.00145985401459854,"9-6"
"72",1,"DELEON","TX",0.00145985401459854,"9-6"
"73",1,"DENISON","TX",0.00145985401459854,"9-6"
"74",1,"DFW","TX",0.00145985401459854,"9-6"
"75",1,"DRIPPINGSPRINGS","TX",0.00145985401459854,"9-6"
"76",1,"DUMAS","TX",0.00145985401459854,"9-6"
"77",1,"DUNCANVILLE","TX",0.00145985401459854,"9-6"
"78",1,"EDINBURG/SANANTONIO","TX",0.00145985401459854,"9-6"
"79",1,"EULESS","TX",0.00145985401459854,"9-6"
"80",1,"FLOWERMOUND","TX",0.00145985401459854,"9-6"
"81",1,"FORTSAMHOUSTON","TX",0.00145985401459854,"9-6"
"82",1,"FRIENDSWOOD","TX",0.00145985401459854,"9-6"
"83",1,"GRACKLETOWN","TX",0.00145985401459854,"9-6"
"84",1,"GRANBURY","TX",0.00145985401459854,"9-6"
"85",1,"GRANDPRAIRIE","TX",0.00145985401459854,"9-6"
"86",1,"HELOTES","TX",0.00145985401459854,"9-6"
"87",1,"HOUSTON&THEWOODLANDS","TX",0.00145985401459854,"9-6"
"88",1,"HUMBLE&BEAUMONT","TX",0.00145985401459854,"9-6"
"89",1,"JERSEYVILLAGE","TX",0.00145985401459854,"9-6"
"90",1,"KELLER","TX",0.00145985401459854,"9-6"
"91",1,"LAMESA","TX",0.00145985401459854,"9-6"
"92",1,"LANDOFPEARS","TX",0.00145985401459854,"9-6"
"93",1,"LAREDO","TX",0.00145985401459854,"9-6"
"94",1,"LASCOLINAS/IRVING","TX",0.00145985401459854,"9-6"
"95",1,"LEVELLAND","TX",0.00145985401459854,"9-6"
"96",1,"LEWISVILLE","TX",0.00145985401459854,"9-6"
"97",1,"MANSFIELD","TX",0.00145985401459854,"9-6"
"98",1,"MANVEL","TX",0.00145985401459854,"9-6"
"99",1,"MARLIN","TX",0.00145985401459854,"9-6"
"100",1,"MCALLEN","TX",0.00145985401459854,"9-6"
"101",1,"MCKINNEY","TX",0.00145985401459854,"9-6"
"102",1,"NEWCASTLE-UPON-TYNE/AUSTIN","TX",0.00145985401459854,"9-6"
"103",1,"PORTNECHES","TX",0.00145985401459854,"9-6"
"104",1,"PRINCETON","TX",0.00145985401459854,"9-6"
"105",1,"ROCKPORT","TX",0.00145985401459854,"9-6"
"106",1,"SANLEON","TX",0.00145985401459854,"9-6"
"107",1,"SCREWSTON","TX",0.00145985401459854,"9-6"
"108",1,"SEGUIN","TX",0.00145985401459854,"9-6"
"109",1,"SHERMAN","TX",0.00145985401459854,"9-6"
"110",1,"STAFFORD","TX",0.00145985401459854,"9-6"
"111",1,"SULPHURSPRINGS","TX",0.00145985401459854,"9-6"
"112",1,"TEMPLE","TX",0.00145985401459854,"9-6"
"113",1,"THEB","TX",0.00145985401459854,"9-6"
"114",1,"THIRDWARD","TX",0.00145985401459854,"9-6"
"115",1,"UPTOWNHOUSTON","TX",0.00145985401459854,"9-6"
"116",1,"VEGA","TX",0.00145985401459854,"9-6"
"117",1,"WAKEVILLAGE","TX",0.00145985401459854,"9-6"
"124",1,"AVONDALE","LA",0.00145985401459854,"9-6"
"125",1,"COVINGTON","LA",0.00145985401459854,"9-6"
"126",1,"INDEPENDENCE","LA",0.00145985401459854,"9-6"
"127",1,"INTX","LA",0.00145985401459854,"9-6"
"128",1,"LULING","LA",0.00145985401459854,"9-6"
"129",1,"MARYLAND","LA",0.00145985401459854,"9-6"
"130",1,"NEWIBERIA","LA",0.00145985401459854,"9-6"
"131",1,"SHREVEPORT","LA",0.00145985401459854,"9-6"
"138",1,"ATHOL","MA",0.00145985401459854,"9-6"
"139",1,"BRIGHTON","MA",0.00145985401459854,"9-6"
"140",1,"CHELSEA","MA",0.00145985401459854,"9-6"
