"","9-4","9-5","9-6","9-7","9-8"
"1","HOUSTON","AUSTIN","HOUSTON","HOUSTON","HOUSTON"
"2","AUSTIN","HOUSTON","AUSTIN","AUSTIN","AUSTIN"
"3","COLLEGESTATION","KATY","CORPUSCHRISTI","CORPUSCHRISTI","KATY"
"4","MIDLAND","PLANO","RICHLANDHILLS","MISSOURICITY","WORCESTER"
"5","KATY","SPRING","PLANO","THEWOODLANDS","CYPRESS"
"6","ODESSA","SUGARLAND","THEWOODLANDS","ARLINGTON","CORPUSCHRISTI"
"7","RICHMOND","ARLINGTON","ARLINGTON","CYPRESS","IRVING"
"8","SPRING","CORPUSCHRISTI","IRVING","SCREWSTON","SUGARLAND"
"9","CORPUSCHRISTI","FRAMINGHAM","FORTWORTH","SUGARLAND","VICTORIA"
"10","ARLINGTON","COLLEGESTATION","ELPASO","KATY","WACO"
"11","CYPRESS","PEARLAND","TOMBALL","RICHMOND","ARLINGTON"
"12","LUBBOCK","TOMBALL","CYPRESS","CAMBRIDGE","PEARLAND"
"13","QUINCY","BEAUMONT","FARMERSBRANCH","ELPASO","ALVIN"
"14","BAYCITY","LUBBOCK","KATY","FRISCO","CONROE"
"15","BAYTOWN","THEWOODLANDS","LUBBOCK","IRVING","DUXBURY"
"16","CAMBRIDGE","IRVING","SANMARCOS","LUBBOCK","HOUSTONAREA"
"17","ELGIN","MCKINNEY","COLLEGESTATION","PEARLAND","RICHMOND"
"18","FRISCO","SCREWSTON","FRISCO","SANMARCOS","SPRING"
"19","GALVESTONCOUNTY","AMARILLO","GALVESTON","WACO","THEWOODLANDS"
"20","NAVASOTA","AMHERST","GEORGETOWN","CLUTCHCITY","CARROLLTON"
