"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","RT @ZZTop: As of 9/8, all proceeds for #LaGrange on @iTunes will go towards the #HurricaneHarvey relief. @SalvationArmyUS https://t.co/XAys…",FALSE,0,NA,"2017-09-07 23:59:47",FALSE,NA,905943712013869056,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","tracey_held",333,TRUE,FALSE,NA,NA,"California","en","http://pbs.twimg.com/profile_images/885928739300810752/Qi1gWCcZ_normal.jpg"
"2","RT @AllenWest: After Harvey's devastation, relief efforts just got a HUGE boost https://t.co/6Q7NIEdIFY #tcot #HurricaneHarvey https://t.co…",FALSE,0,NA,"2017-09-07 23:59:46",FALSE,NA,905943709325418496,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BamagirlJulie",30,TRUE,FALSE,NA,NA,"Florida","en","http://pbs.twimg.com/profile_images/2713716074/33f51b2c75db75ad9eea132dc4b40e50_normal.jpeg"
"3","RT @npratc: Listen to the full story on volunteerism for #HurricaneHarvey here: https://t.co/58av4BiuV4 https://t.co/IbKKsOYmoU",FALSE,0,NA,"2017-09-07 23:59:45",FALSE,NA,905943704237694976,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AliaHanna",3,TRUE,FALSE,NA,NA,"New York","en","http://pbs.twimg.com/profile_images/867858783070015489/mBAkAVjv_normal.jpg"
"4","RT @PhilPrazan: .@GregAbbott_TX extends the suspension of the Hotel Occupancy Tax after #HurricaneHarvey until September 22. @KXAN_News htt…",FALSE,0,NA,"2017-09-07 23:59:44",FALSE,NA,905943700253102080,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Trish061616",45,TRUE,FALSE,NA,NA,"Cinco Ranch, TX","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"5","RT @ZZTop: As of 9/8, all proceeds for #LaGrange on @iTunes will go towards the #HurricaneHarvey relief. @SalvationArmyUS https://t.co/XAys…",FALSE,0,NA,"2017-09-07 23:59:43",FALSE,NA,905943696448917504,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zirqueboisdarc",333,TRUE,FALSE,NA,NA,"Austin, TX","en","http://pbs.twimg.com/profile_images/897884263227416576/xY0AiPwF_normal.jpg"
"6","RT @realamberheard: ""Hand in Hand"" telethon 2 raise money 4 #HurricaneHarvey relief is expanding its scope 2 include #HurricaneIrma Watch 9…",FALSE,0,NA,"2017-09-07 23:59:42",FALSE,NA,905943691759685632,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","batfIcks",149,TRUE,FALSE,NA,NA,"harry | dc","en","http://pbs.twimg.com/profile_images/903808904181768192/P0YOpkNu_normal.jpg"
"7","RT @BlakeAPounds: Catastrophic flooding from #HurricaneHarvey has had substantial impact on US Gulf Coast #petrochemical production. https:…",FALSE,0,NA,"2017-09-07 23:59:35",FALSE,NA,905943662827368448,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hepinsa",1,TRUE,FALSE,NA,NA,"San Antonio","en","http://pbs.twimg.com/profile_images/699002353052069889/mQ0fIk-P_normal.jpg"
"8","RT @lisano1: #charity #donate #hurricanevictims #HurricaneHarvey #HurricaneIrma #give https://t.co/8NfRmqsFnu",FALSE,0,NA,"2017-09-07 23:59:34",FALSE,NA,905943657093705728,NA,"<a href=""http://www.mywebsite.com"" rel=""nofollow""> Ethereal Heart</a>","EHFoundation237",1,TRUE,FALSE,NA,NA,"Cameroon ","en","http://pbs.twimg.com/profile_images/899230852336496640/BId6vRrb_normal.jpg"
"9","RT @etnow: Jimmy Fallon announces that #FallonTonight is donating $1 million to #HurricaneHarvey relief efforts. https://t.co/TkKQIaH5VC ht…",FALSE,0,NA,"2017-09-07 23:59:28",FALSE,NA,905943635149021184,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mckbirdbks",107,TRUE,FALSE,NA,NA,"California","en","http://pbs.twimg.com/profile_images/3769642475/00b0dccd46c502562a9109be91b92f48_normal.jpeg"
"10","RT @toddgillman: It's that bad: Five ex-presidents have teamed up for #HurricaneHarvey relief https://t.co/5P5BfDG1xl via @dallasnews",FALSE,0,NA,"2017-09-07 23:59:22",FALSE,NA,905943607529627648,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","robyntomlin",14,TRUE,FALSE,NA,NA,"Dallas, TX","en","http://pbs.twimg.com/profile_images/631863459794296833/e0zbHeNF_normal.jpg"
"11","RT @sonicdrivein: Join SONIC in helping teachers get desperately needed supplies once schools open in #HurricaneHarvey ravaged communities.…",FALSE,0,NA,"2017-09-07 23:59:12",FALSE,NA,905943566664564736,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lollygaggin247",23,TRUE,FALSE,NA,NA,"Milford, OH","en","http://pbs.twimg.com/profile_images/835354073566232581/Wp08iHnj_normal.jpg"
"12","RT @QueenieG2017: You have to wonder. #hurricaneirma2017 #HurricaneJose #HurricaneHarvey #ClimateChangeIsReal https://t.co/K4m5G6HXNx",FALSE,0,NA,"2017-09-07 23:59:11",FALSE,NA,905943563099193344,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","monie724",1046,TRUE,FALSE,NA,NA,"Reno, NV","en","http://pbs.twimg.com/profile_images/648686211049984000/yQKjYEFR_normal.jpg"
"13","RT @blysx: TEXAS WEEKEND:Aerial spraying of Neonicotinoids &amp; Organophosphates on residents begins for #HurricaneHarvey #Houston https://t.c…",FALSE,0,NA,"2017-09-07 23:59:08",FALSE,NA,905943549555773440,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SheepishWolf1",21,TRUE,FALSE,NA,NA,"California, USA","en","http://pbs.twimg.com/profile_images/893471353319301120/lWaSD_tv_normal.jpg"
"14","With #HurricaneHarvey and #Irma, let's turn disaster into climate and clean energy action via @NRDC  https://t.co/DJG4Mn68yf",FALSE,0,NA,"2017-09-07 23:59:01",FALSE,NA,905943521051287552,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ckkoch3",0,FALSE,FALSE,NA,NA,"Washington, USA","en","http://pbs.twimg.com/profile_images/886742482909659136/cItYtj3Y_normal.jpg"
"15","RT @musicnewsfact: Miley Cyrus, Taylor Swift &amp; Ariana Grande have donated $2M+ to different #HurricaneHarvey organizations! https://t.co/Ml…",FALSE,0,NA,"2017-09-07 23:58:57",FALSE,NA,905943502906736640,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Raffrles",972,TRUE,FALSE,NA,NA,"Honey Moon Ave.","en","http://pbs.twimg.com/profile_images/903984114407170050/VPJK71KF_normal.jpg"
"16","RT @TRUMPMOVEMENTUS: RT to thank President Donald Trump and First Lady Melania for their personal donation to the #HurricaneHarvey relief e…",FALSE,0,NA,"2017-09-07 23:58:55",FALSE,NA,905943496032481280,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","homeofthetweeet",19,TRUE,FALSE,NA,NA,"United States","en","http://pbs.twimg.com/profile_images/901813800059498496/-y1Ic5Rd_normal.jpg"
